// Created with X3 Editor 2 (2.0.27.0)
// Plugin T File Editor (1.1.19.0)
55;38;
effects\weapons\bullet_ebc;0;0;0;0;-1;8003;1358;0;302;2600;1300000;0;255;255;255;2.0;2.0;5.0;0;202;108;452;0;0;0;255;0;0;0;0;0;0;0;0;0;0;452;150;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IRE;
effects\weapons\bullet_pbe;0;0;0;0;-1;8013;914;0;302;2700;1100000;0;255;255;255;2.0;2.0;5.0;0;202;108;2738;0;0;0;255;0;0;0;0;0;0;1;0;0;0;304;912;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PAC;
effects\weapons\bullet_pbe;0;0;0;0;-1;4953;1030;0;302;1600;1250000;0;255;255;255;0.5;0.5;5.0;0;202;108;1716;0;0;0;255;0;0;0;0;0;0;0;0;0;0;343;572;42;10000;25;1;0;10000;-100000;0;0;SS_BULLET_MD;
effects\weapons\bullet_apc;0;0;0;0;-1;8033;3512;0;330;2600;750000;0;255;255;255;1.0;1.0;5.0;0;230;101;1172;0;0;0;255;0;0;0;0;0;0;0;0;2;2;1170;390;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PRG;
effects\weapons\bullet_ElectroSpike;0;0;0;0;-1;8043;1742;0;302;3000;750000;0;255;255;255;2.0;2.0;5.0;0;202;104;580;0;0;0;255;0;0;0;0;0;0;0;0;0;0;380;193;93;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EBC;
effects\weapons\bullet_FireBomb;0;0;0;0.45;-1;8053;6562;0;302;7600;250000;0;255;255;255;1.0;1.0;5.0;0;202;105;2188;0;0;0;255;0;100;5000;0;0;0;44;12;0;0;2187;729;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FBL;
effects\weapons\bullet_maml;0;0;0;0;-1;8063;5539;0;302;3900;500000;0;255;255;255;2.0;2.0;5.0;0;202;108;1846;0;0;0;255;0;0;0;0;0;0;0;0;0;0;1846;615;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_HEPT;
effects\weapons\bullet_PL_alpha;0;0;0;0;-1;4623;5624;0;303;2700;750000;0;255;255;255;0.5;0.5;5.0;0;203;103;1250;0;0;0;255;0;15;1000;0;0;0;0;0;0;0;1874;416;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ID;
effects\weapons\bullet_mds;0;0;0;0.733333;-1;8083;880;0;302;2600;750000;0;255;255;255;2.0;2.0;5.0;0;202;108;2640;0;0;0;255;0;0;0;0;0;0;0;0;0;0;293;880;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBE;
effects\weapons\bullet_ire;0;0;0;0;-1;8093;5532;0;302;2700;750000;0;255;255;255;1.0;1.0;5.0;0;200;100;1844;0;0;0;255;0;0;0;0;0;0;0;0;2;2;1844;614;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBG;
effects\weapons\bullet_IonPulse;0;0;0;0;-1;8103;5084;0;302;2600;750000;0;255;255;255;1.5;1.5;5.0;0;207;107;1694;0;0;0;255;0;0;0;0;1000;2000;16;50;0;0;1694;564;5;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EMPC;
effects\weapons\bullet_empc;0;0;0;0;0;7933;12030;0;302;2700;1000000;0;255;255;255;0.5;0.5;5.0;0;202;110;6011;0;0;0;255;0;0;0;0;0;0;0;0;0;0;4010;2003;128;0;0;0;0;0;-100000;0;0;SS_BULLET_CIG;
effects\weapons\bullet_PL_beta;0;0;0;0;-1;8123;13989;0;306;3700;750000;0;255;255;255;0.5;0.5;5.0;0;206;131;4663;0;0;0;255;0;20;2000;25;0;0;44;1;0;0;4663;1554;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IPG;
effects\weapons\bullet_md;0;0;0;0;-1;8133;11263;0;302;2800;1000000;0;255;255;255;3.0;3.0;5.0;308;200;100;2888;0;0;0;255;0;0;0;32;0;0;0;0;0;0;3754;962;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ISR;
effects\weapons\bullet_push;0;0;0;0;0;8143;3883;0;302;2600;1000000;0;255;255;255;0.5;0.5;5.0;0;207;118;1494;0;0;0;255;0;0;0;0;0;0;0;0;0;0;1294;498;91;0;0;0;0;0;-100000;0;0;SS_BULLET_MAML;
effects\weapons\bullet_ibl;0;0;0;0.416667;-1;8153;12885;0;315;5000;500000;0;255;255;255;1.5;1.5;5.0;310;215;104;4956;0;0;0;255;0;12;1000;0;0;0;44;10;0;0;4295;1652;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FAA;
effects\weapons\bullet_PR_alpha;0;0;0;0;-1;8163;14769;0;330;5000;500000;0;255;255;255;0.5;0.5;5.0;0;230;101;5680;0;0;0;255;0;25;2000;0;0;0;37;2;0;0;4923;1893;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_CFA;
effects\weapons\bullet_psg;0;0;0;0.35;-1;8173;10889;0;322;3000;1000000;0;255;255;255;2.0;2.0;5.0;308;201;109;4188;0;0;0;255;0;0;0;0;0;0;0;0;0;0;3629;1396;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PALC;
effects\weapons\bullet_LS_alpha;0;0;0;0;-1;8183;7561;0;302;2900;1000000;0;255;255;255;0.5;0.5;5.0;0;202;105;2908;0;0;0;255;0;85;1000;0;0;0;0;0;0;0;2520;969;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PSG;
effects\weapons\bullet_empc;0;0;0;0;-1;8193;9157;0;302;2800;1000000;0;255;255;255;0.5;0.5;5.0;0;207;118;3522;0;0;0;255;0;0;0;0;0;0;0;0;0;0;3052;1174;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_SSC;
effects\weapons\bullet_ic;0;0;0;0.65;-1;8203;11957;0;320;5500;1750000;0;255;255;255;2.0;2.0;5.0;0;202;113;6742;0;0;0;255;0;0;0;0;0;0;0;0;4;4;3985;2247;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PPC;
effects\weapons\bullet_paaGreen;0;0;0;0;-1;8213;8719;0;306;6700;1500000;0;255;255;255;1.0;1.0;5.0;0;210;106;4371;0;0;0;255;0;10;2000;20;0;0;0;0;0;0;2906;1457;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IC;
effects\weapons\bullet_gkyon;0;0;0;0.85;-1;8223;5216;0;302;6000;1750000;0;255;255;200;1.0;1.0;5.0;0;202;134;3922;0;0;0;255;0;0;0;0;0;0;44;5;0;0;1738;1307;94;10000;25;1;0;10000;-100000;0;0;SS_BULLET_GC;
effects\weapons\bullet_palc;0;0;0;0;-1;8233;16718;0;335;5200;1750000;0;255;255;255;4.0;4.0;5.0;310;235;113;9428;0;0;0;255;0;0;0;0;0;0;0;0;2;2;5572;3142;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IBL;
effects\weapons\bullet_ppc;0;0;0;0.733333;-1;8243;31364;0;324;6200;1750000;0;255;255;255;1.0;1.0;5.0;0;224;126;23582;0;0;0;255;0;0;0;0;0;0;0;0;2;2;10454;7860;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PSP;
525;0;0;0;0;-1;8253;12012;0;0;900;3000000;2;255;255;255;2.0;2.0;5.0;0;18;0;6006;0;0;0;0;0;50;10000;60;100;10000;0;0;0;0;4004;2002;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBC;
effects\weapons\bullet_paaPurple;0;0;0;0;-1;8263;3425;0;302;5000;1750000;0;255;255;255;0.5;0.5;5.0;0;210;127;2060;0;0;0;255;0;0;0;10;0;0;0;0;0;0;1141;686;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_TBC;
effects\weapons\bullet_paaBlue;0;0;0;0;-1;8273;3272;0;330;5700;1750000;0;10;10;255;0.5;0.5;5.0;0;210;114;3075;0;0;0;255;0;20;2000;0;0;0;0;0;0;0;1090;1025;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FBC;
effects\weapons\bullet_fbc;0;0;0;0;-1;76084;25752;0;329;4200;1000000;0;255;255;255;2.0;2.0;8.0;0;18;129;12876;0;0;0;255;0;0;0;0;0;0;37;12;0;0;8584;4292;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_RG;
effects\weapons\bullet_GaussCannon;0;0;0;0;-1;9507;428;0;302;2000;1250000;0;255;255;255;2.0;2.0;5.0;0;207;107;1286;0;0;0;255;0;0;0;0;0;0;0;0;0;0;142;428;5;10000;25;1;0;10000;-100000;0;0;SS_BULLET_APC;
effects\weapons\bullet_ipg;0;0;0;0;-1;9501;5972;0;302;2700;1000000;0;255;255;255;2.0;2.0;5.0;309;207;118;2297;0;0;0;255;0;0;0;0;0;0;0;0;0;0;1990;765;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_GRC;
effects\weapons\bullet_paa;0;0;0;0;-1;9503;7328;0;310;6700;1250000;0;255;255;255;0.5;0.5;5.0;0;210;109;5510;0;0;0;255;0;0;0;0;0;0;0;0;0;0;2442;1836;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PAA;
effects\weapons\bullet_akyon;0;0;0;0.699997;-1;4643;2363;0;333;2300;750000;0;255;255;255;1.0;1.0;6.0;0;233;133;1182;0;0;0;255;0;0;0;0;0;0;0;0;0;0;787;394;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_AKE;
effects\weapons\bullet_fbc;0;0;0;0;-1;4653;21451;0;337;2500;1000000;0;255;255;255;1.0;1.0;8.0;0;233;133;10726;0;0;0;255;0;0;0;0;0;0;0;0;0;0;7150;3575;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_BKE;
effects\weapons\bullet_palc;0;0;0;0;-1;4663;94130;0;335;4800;1750000;0;255;255;255;1.0;1.0;8.0;0;235;135;94130;0;0;0;255;0;0;0;0;0;0;0;0;0;0;31376;31376;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_GKE;
effects\weapons\bullet_Repair;0;0;0;0;-1;6713;0;0;336;1000;2500000;162;50;255;50;1.0;1.0;5.0;0;236;136;1000;0;122;0;255;0;0;0;0;0;0;0;0;0;0;0;0;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_RL;
effects\weapons\bullet_mds;0;0;0;1.033333;-1;9505;2660;0;302;2300;1000000;0;255;255;255;2.0;2.0;5.0;0;207;107;886;0;0;0;255;0;0;0;0;0;0;0;12;0;0;886;295;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PG;
effects\weapons\bullet_mds;0;0;0;3.5;-1;4633;8;0;337;6000;500000;0;255;255;255;2.0;2.0;5.0;0;237;137;4;0;0;0;255;0;0;0;0;0;0;0;0;0;0;2;1;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_MDS;
